Date,Low,Close,Drawdown%,Rolling_ATH,ATH_Anchor_Date,Ticker
1999-04-19,49.0078,49.5312,11.94,56.25,1999-04-07,QQQ
1999-05-24,51.1875,51.5312,10.04,57.2812,1999-04-27,QQQ
1999-05-25,49.625,49.8438,12.98,57.2812,1999-04-27,QQQ
1999-05-26,48.9375,51.2344,10.56,57.2812,1999-04-27,QQQ
1999-05-27,50.375,51.1875,10.64,57.2812,1999-04-27,QQQ
1999-06-01,50.5938,50.875,11.18,57.2812,1999-04-27,QQQ
1999-06-03,50.6875,51.0,10.97,57.2812,1999-04-27,QQQ
1999-06-14,50.6875,50.8047,11.31,57.2812,1999-04-27,QQQ
1999-08-04,55.0078,55.0547,10.8,61.7188,1999-07-16,QQQ
1999-08-06,54.9375,55.3281,10.35,61.7188,1999-07-16,QQQ
1999-08-09,54.5078,54.6172,11.51,61.7188,1999-07-16,QQQ
1999-08-10,52.9375,54.125,12.3,61.7188,1999-07-16,QQQ
1999-08-12,55.125,55.25,10.48,61.7188,1999-07-16,QQQ
2000-01-05,84.25,86.0,10.59,96.1875,2000-01-03,QQQ
2000-01-06,79.75,80.0938,16.73,96.1875,2000-01-03,QQQ
2000-01-12,86.0,86.0625,10.53,96.1875,2000-01-03,QQQ
2000-01-28,84.75,86.0,11.91,97.625,2000-01-24,QQQ
2000-03-15,101.875,102.875,11.65,116.4375,2000-03-10,QQQ
2000-03-30,103.5,107.25,11.0,120.5,2000-03-24,QQQ
2000-04-03,100.75,102.9375,14.57,120.5,2000-03-24,QQQ
2000-04-04,88.3125,101.9375,15.4,120.5,2000-03-24,QQQ
2000-04-05,96.25,100.125,16.91,120.5,2000-03-24,QQQ
2000-04-06,99.75,102.5,14.94,120.5,2000-03-24,QQQ
2000-04-07,102.625,106.625,11.51,120.5,2000-03-24,QQQ
2000-04-10,99.25,100.125,16.91,120.5,2000-03-24,QQQ
2000-04-11,95.0625,97.75,18.88,120.5,2000-03-24,QQQ
2000-04-12,90.25,92.0,23.65,120.5,2000-03-24,QQQ
2000-04-13,88.0,88.0,26.97,120.5,2000-03-24,QQQ
2000-04-14,78.0,80.375,33.3,120.5,2000-03-24,QQQ
2000-04-17,78.0,89.625,25.62,120.5,2000-03-24,QQQ
2000-04-18,87.375,92.0,23.65,120.5,2000-03-24,QQQ
2000-04-19,89.0625,89.1875,25.99,120.5,2000-03-24,QQQ
2000-04-20,86.0625,87.25,27.59,120.5,2000-03-24,QQQ
2000-04-24,79.875,84.75,29.67,120.5,2000-03-24,QQQ
2000-04-25,86.0,90.4688,24.92,120.5,2000-03-24,QQQ
2000-04-26,87.125,87.375,27.49,120.5,2000-03-24,QQQ
2000-04-27,82.25,91.25,24.27,120.5,2000-03-24,QQQ
2000-04-28,92.125,94.75,21.37,120.5,2000-03-24,QQQ
2000-05-01,94.25,95.625,20.64,120.5,2000-03-24,QQQ
2000-05-02,89.75,90.125,25.21,120.5,2000-03-24,QQQ
2000-05-03,85.5156,89.125,26.04,120.5,2000-03-24,QQQ
2000-05-04,87.625,89.3125,25.88,120.5,2000-03-24,QQQ
2000-05-05,88.0312,91.4375,24.12,120.5,2000-03-24,QQQ
2000-05-08,87.75,87.875,27.07,120.5,2000-03-24,QQQ
2000-05-09,84.3125,86.0,28.63,120.5,2000-03-24,QQQ
2000-05-10,79.5,79.75,33.82,120.5,2000-03-24,QQQ
2000-05-11,80.875,84.625,29.77,120.5,2000-03-24,QQQ
2000-05-12,84.0,84.625,29.77,120.5,2000-03-24,QQQ
2000-05-15,82.625,88.3125,26.71,120.5,2000-03-24,QQQ
2000-05-16,88.0625,90.8125,24.64,120.5,2000-03-24,QQQ
2000-05-17,87.75,88.9375,26.19,120.5,2000-03-24,QQQ
2000-05-18,85.375,85.75,28.84,120.5,2000-03-24,QQQ
2000-05-19,81.3125,81.6875,32.21,120.5,2000-03-24,QQQ
2000-05-22,75.5781,81.625,32.26,120.5,2000-03-24,QQQ
2000-05-23,74.25,74.8125,37.91,120.5,2000-03-24,QQQ
2000-05-24,72.25,79.5,34.02,120.5,2000-03-24,QQQ
2000-05-25,76.5,77.75,35.48,120.5,2000-03-24,QQQ
2000-05-26,75.75,77.75,35.48,120.5,2000-03-24,QQQ
2000-05-30,80.0,85.5625,28.99,120.5,2000-03-24,QQQ
2000-05-31,82.75,83.125,31.02,120.5,2000-03-24,QQQ
2000-06-01,84.0,87.375,27.49,120.5,2000-03-24,QQQ
2000-06-02,82.5,93.625,22.3,120.5,2000-03-24,QQQ
2000-06-05,91.875,93.8594,22.11,120.5,2000-03-24,QQQ
2000-06-06,90.875,91.25,24.27,120.5,2000-03-24,QQQ
2000-06-07,89.5625,93.6875,22.25,120.5,2000-03-24,QQQ
2000-06-08,91.625,93.25,22.61,120.5,2000-03-24,QQQ
2000-06-09,93.0,93.75,22.2,120.5,2000-03-24,QQQ
2000-06-12,90.0,90.75,24.69,120.5,2000-03-24,QQQ
2000-06-13,89.3594,94.25,21.78,120.5,2000-03-24,QQQ
2000-06-14,91.5,92.125,23.55,120.5,2000-03-24,QQQ
2000-06-15,90.875,93.75,22.2,120.5,2000-03-24,QQQ
2000-06-16,93.0625,94.25,21.78,120.5,2000-03-24,QQQ
2000-06-19,92.6875,98.0,18.67,120.5,2000-03-24,QQQ
2000-06-20,97.1875,97.625,18.98,120.5,2000-03-24,QQQ
2000-06-21,96.6875,98.875,17.95,120.5,2000-03-24,QQQ
2000-06-22,94.5,95.25,20.95,120.5,2000-03-24,QQQ
2000-06-23,91.375,91.5,24.07,120.5,2000-03-24,QQQ
2000-06-26,92.0,94.0,21.99,120.5,2000-03-24,QQQ
2000-06-27,92.375,92.875,22.93,120.5,2000-03-24,QQQ
2000-06-28,92.5,94.0,21.99,120.5,2000-03-24,QQQ
2000-06-29,90.625,91.6406,23.95,120.5,2000-03-24,QQQ
2000-06-30,91.3125,93.4375,22.46,120.5,2000-03-24,QQQ
2000-07-03,93.25,95.25,20.95,120.5,2000-03-24,QQQ
2000-07-05,90.875,91.5625,24.01,120.5,2000-03-24,QQQ
2000-07-06,90.0625,94.0,21.99,120.5,2000-03-24,QQQ
2000-07-07,94.4375,95.9375,20.38,120.5,2000-03-24,QQQ
2000-07-10,94.0,94.4844,21.59,120.5,2000-03-24,QQQ
2000-07-11,92.8125,95.0,21.16,120.5,2000-03-24,QQQ
2000-07-12,94.625,97.25,19.29,120.5,2000-03-24,QQQ
