Year,Month,Trading days,QQQ %,QQQ Cum. %,QLD %,QLD Cum. %,TQQQ %,TQQQ Cum. %,SPY %,SPY Cum. %,SSO %,SSO Cum. %,SPXL %,SPXL Cum. %
2010,11,21,-0.17248016876487693,17.53158960123169,-0.8414852278469609,34.05560930281908,-1.4311462832760524,48.69531854647662,4.440892098500626e-14,7.973391808210328,-0.4014124558923027,14.495114360668104,-0.016954570872740327,18.63555043346592
2010,12,22,4.549815559497583,22.87906015223338,9.684830155018286,47.03866737707201,14.813673564223318,70.72255764123368,6.127101246619526,14.589030843708573,13.91654549410819,30.428879039201682,21.28922404299871,43.8921385598912
2011,1,20,2.827765224782053,26.35379148375725,5.489359090693946,55.11014783157053,8.0065417391467,84.39153047691784,2.3300140562872995,17.258971369330368,4.328828020980313,36.07492090250118,6.545452653869033,53.31053036196851
2011,2,19,3.1607151031493474,30.3474748545862,6.204909191111052,64.7345916507176,9.141036102984446,101.24682684865847,3.473734438239817,21.332236639712555,6.941949866523611,45.521173692464465,10.462068383786317,69.34998288798313
2011,3,23,-0.5885410245694334,29.580326490576624,-1.3811266898210328,62.45939823806186,-2.3519792126215466,96.51354331511754,-0.4205764808589474,20.8219417887058,-0.6342103128464505,44.59826340153165,-0.35650080870224254,68.74624882945035
2011,4,20,2.8730655008027517,33.30325414680495,5.768574226948409,71.83098921407817,8.57705351309952,113.36861508574319,2.8961433320389807,24.32111839945943,5.744323910260185,52.90445601992684,8.777570399587798,83.55806961711896
2011,5,21,-1.218688555159575,31.678702644862568,-2.8478261357583134,66.93754139390762,-4.306860481064312,104.17912652362106,-1.1214533910683833,22.92691500135455,-2.378839178111214,49.26710491504698,-3.7386147215369037,76.69554060384438
2011,6,22,-2.2446904722250194,28.722923352643814,-4.348292171194168,59.67860935069231,-7.011158408374641,89.86380452621432,-2.1719739127857185,20.256974475732846,-3.8188802049822,43.56677299289624,-6.047837213408114,66.00928194477245
2011,7,20,1.6652073192708228,30.866426893891408,3.030645520170938,64.51790197165033,4.426528567557542,98.26818007301881,-2.0004541677872245,17.851288817778222,-4.216297160088023,37.513571220366735,-7.00691508072222,54.37715253278552
2011,8,23,-5.068963149498251,24.232855939574982,-11.623331556965589,45.39544075492179,-19.541094087126908,59.52440846011599,-5.497564764314655,11.372337889441342,-12.810899522334552,19.896845781751594,-21.8745888048704,20.607785207571116
2011,9,21,-4.667634636258622,18.434120126126107,-9.401372021402121,31.726274467394266,-14.314678847187,36.689001706175574,-7.421043695168816,3.1073480303348333,-14.03667015001423,3.067321019095881,-22.6263941459262,-6.6814076441659935
2011,10,21,10.401979252960292,30.753612730071822,21.000691926878368,59.38970355504598,31.537127312075143,79.79678619585673,10.914713484379824,14.361219649188218,21.806685575722916,25.542887645051103,33.75025165832275,24.81385211993232
2011,11,21,-2.6919781755873506,27.233754011586274,-6.185573247702969,49.53053669235199,-10.145154904498387,61.5561237229773,-0.40637620416765774,13.896482865738014,-1.5567593961148152,23.5884869454829,-3.676234779191001,20.225401879051354
2011,12,21,-0.993079561367316,25.97022160533684,-1.630254225279848,47.09280879984128,-2.8297841838755278,56.98443408578211,0.40803435870631066,14.36121964918826,1.888865876145407,25.92290770224055,1.8413226949630435,22.43913948896086
2012,1,20,8.418407297324947,36.57490793341693,17.272299425172875,72.49911916864691,26.856986944491588,99.14572305308462,4.637456035234067,19.66467093177684,8.967449670500294,37.214981074069506,14.858630954480322,40.63191936946693
2012,2,20,6.410052802015853,45.3294316462535,13.105833175602232,95.10656595627307,20.1390698565568,139.2518193350905,4.340539621026163,24.858763385941195,8.447083129989675,48.80564459219576,13.008017907024815,58.92534462403989
2012,3,22,4.875018182145596,52.414267863017216,10.087914899890826,114.78875029404128,15.460335874476838,176.240954190092,2.7660145730229013,28.312374976892517,6.45749896978125,58.41476755871315,9.130058408056719,73.43532141342016
2012,4,20,-1.1695053735557126,50.63177481029364,-2.5725071412921685,109.26329435403485,-4.304600698870065,164.34988414545995,-0.6675679693943892,27.45580266077756,-1.6106964214793185,55.86318656655018,-2.43675622285755,69.20912542624565
2012,5,22,-7.04014471621589,40.02707987504452,-13.935641335157744,80.10111220672115,-20.44718429209399,110.29777615830079,-6.005572452795594,19.801352086692383,-11.372342367695365,38.13789136500232,-17.75690643679756,39.16281934178378
2012,6,21,3.383825720832334,44.765352219986724,6.757575333388299,92.27158054036053,9.793619353531891,130.89353986418732,3.5217196621455837,24.020419858645692,7.152681142277317,48.01845427100637,10.151844815793186,53.290412802644305
2012,7,21,0.9975052261825157,46.209394174082604,1.6341076342163863,95.41350511639908,2.280005712888844,136.15792576378206,1.1829541059146464,25.48752450753613,2.5307190519123557,51.764385493588904,3.1245887068130918,58.08010772970289
2012,8,23,5.185185882889276,53.790623040255085,10.644979221144713,116.21523213135032,16.093041283080467,174.16291825021406,2.505262348443882,28.631316211017733,4.614562400457745,58.76764776386181,6.683641220206837,68.64561497087269
2012,9,19,0.6015199687301687,54.71570434787676,1.603479065135982,119.68219811421167,2.139092838431478,180.02751760013913,1.9906471278648974,31.191911812707175,4.667463607273925,66.1780699433649,7.661095911120186,81.56571728368971
2012,10,21,-5.27928068060829,46.547828058372254,-10.619764433201063,96.35246617280433,-15.63324921055279,136.25011791558478,-1.819820167377184,28.804454943571844,-4.1489723372766125,59.28338779079452,-6.20703748257363,70.29586515638742
2012,11,21,1.3087084579741504,48.46571187914959,2.409419531039858,101.0834208424503,3.1861494230697396,143.77739968455376,0.5659623335162456,29.53343964244337,0.9372856751877379,60.77632816751137,1.0753888617430096,72.12720792228811
2012,12,20,-1.0182458469080058,46.953965933857745,-1.562498073125751,97.94149626641166,-1.9321844009207223,139.06717079487865,0.18291225943654066,29.770372183619244,1.890931859768341,63.816498979796556,2.4786634189334134,76.39366205908931
2013,1,21,2.671588463905139,50.87997113499778,5.309249725416243,108.45070461342092,7.649213603013272,157.35392934365947,5.119017694451755,36.413340497854605,10.27341298160156,80.64604445199215,15.64175567119037,103.98472769783731
2013,2,19,0.3439445462723789,51.39891456713394,0.48509835997097017,109.46189556284858,0.5921438065876528,158.87783469727793,1.275887575849266,38.153821361067685,2.1637787317482227,84.55482514158878,2.9992078556869917,110.10265367535257
2013,3,20,2.7868894025433244,55.61823487277102,5.844826533876635,121.7045800130669,8.740601139223703,181.5053136660259,3.3375090945341634,42.764717713439794,7.3393229150594985,98.0998997140534,11.484683496862846,134.23227846847666
2013,4,22,2.5373350283118157,59.566790856638384,4.658740248878113,132.03322051574182,6.9389757312410705,201.03889906346546,1.921232234642667,45.50755948984702,3.8640717526855273,105.75462198100247,5.524519695262087,147.17248682512883
2013,5,22,3.577486899924187,65.27527189616404,7.11283999194432,148.53737221918183,10.707186605409147,233.27169574106,2.3609747278205973,48.942956196470824,4.55144697802512,115.1194345053038,6.863706564605998,164.13768102924507
2013,6,20,-2.7030762551994436,60.807755265822514,-5.172911325748686,135.6807543429376,-8.022715970919291,206.53425418028846,-1.8537772015109533,46.18188563124419,-3.1798064896736755,108.27905276635485,-5.714285714285705,149.0440992561454
2013,7,22,6.3140174154025175,70.9611849386244,13.055464854691357,166.44997239545128,20.141552929039296,268.2750132316471,5.167690212906839,53.736112628052666,10.413133734142498,129.96742907112062,16.945458614464926,191.24576402736247
2013,8,22,-0.3959290427007156,70.28429995570711,-1.043638731100749,163.6691972845251,-1.6927931625305592,262.04087898835326,-2.9992369249114303,49.12520237118869,-6.078849683279297,115.98805473738527,-9.307631679604677,164.137681029245
2013,9,20,4.518346333058476,77.9783343785301,9.560328069180123,188.87683756229947,14.91074263268175,316.02386267940534,2.664222898235735,53.098230159802284,6.371747787192694,129.75026883571513,9.805716378348173,190.03827287931873
2013,10,23,4.95690136695579,86.80054486822462,10.06376205368551,217.9487151227809,14.696397169044983,377.1643818567731,4.630676170268222,60.18771342091465,9.073724433550879,150.59717511521023,13.363859380923238,228.79857981776928
2013,11,20,3.5511564306009324,93.43412442971015,6.905953848056323,239.90610664964822,10.335811539385166,426.4831930985613,2.9637675139942754,64.93530483269396,5.7733988828788,165.0651496238376,8.868898112838552,257.95939085826734
2013,12,21,2.6011846963945207,98.4657032719805,5.822349731856602,259.6966289387282,8.858889032540995,473.1237549501414,2.0386753819923387,68.29780028853212,5.028157661025379,178.39304325135697,7.60667608684773,285.188202243309
2014,1,21,-1.921330671892374,94.65252084182903,-4.076302832121614,245.03430506625284,-6.357257242738246,436.6888035287202,-3.5248306240562854,62.36558788434885,-7.234787778447638,158.25189738215934,-10.768023532975313,243.71104597950492
2014,2,19,4.717746439313597,103.83573321287858,10.257478886804705,280.4261260606571,15.401834619193444,519.3487254679417,4.551577586552424,69.75578359076695,9.060335087115767,181.65038465381733,13.806429945929533,291.1652707590869
